"data_src","date_time","date","hour","day","num_fav","num_RT","is_RT","text"
"Ripple",2017-06-02 16:03:34,2017-06-02,16,"Fri",227,122,FALSE,"We open-sourced the first bitcoin plug-in for @Interledger, allowing users to conduct transactions across 7 ledgers. https://t.co/gZjePc2uPB"
"coindesk",2017-06-02 20:00:06,2017-06-02,20,"Fri",32,22,FALSE,"The latest Bitcoin Price Index is 2,440.79 USD https://t.co/lzUu2wyPQN https://t.co/IaBG5MHnNQ"
"FortuneMagazine",2017-06-02 18:45:06,2017-06-02,18,"Fri",19,17,FALSE,"7 people set to make a killing from the bitcoin boom https://t.co/MFc9VDks8M https://t.co/nIXCvzreTr"
"CondusefMX",2017-06-02 17:20:28,2017-06-02,17,"Fri",36,41,FALSE,"Bitcoin... ¿Qué es? Te lo explicamos en #ConsejosParaTuBolsillo https://t.co/IUTu0O9oyD"
"CodyBrown",2017-05-31 22:18:12,2017-05-31,22,"Wed",506,488,FALSE,"How to lose $8k worth of bitcoin in 15 minutes with @Verizon and @Coinbase https://t.co/IOvQVGS4CG https://t.co/bmcDSPzKII"
"wef",2017-05-31 10:30:06,2017-05-31,10,"Wed",293,284,FALSE,"What is Bitcoin? https://t.co/EwEgmO7yfR https://t.co/nnlEhxQvrn"
"RT_com",2017-05-28 08:52:00,2017-05-28,8,"Sun",162,160,FALSE,"#VIRAL: $100 in bitcoin in 2010 now worth almost $73 million
https://t.co/bLy6CIcox6 https://t.co/9Cvs5cEoKY"
"MarketWatch",2017-06-02 18:34:41,2017-06-02,18,"Fri",15,16,FALSE,"Bitcoin has been on a tear, but DON'T call it a bubble. So says this financial blogger: https://t.co/epX6rPZr5G"
"CharlieShrem",2017-06-02 13:44:51,2017-06-02,13,"Fri",107,70,FALSE,"This is what the ""Bitcoin Core Dragons Den"" has been working on ! #bitcoin https://t.co/5l03Pgad9I"
"lopp",2017-06-01 15:01:56,2017-06-01,15,"Thu",877,423,FALSE,"Folks who feel they missed the bitcoin boat are going to get a lesson in how small of a number 21,000,000 is relative to global population."
"RealJamesWoods",2017-05-30 01:25:30,2017-05-30,1,"Tue",1882,476,FALSE,"If #BernieMadoff were reincarnated as an algorithm: #Bitcoin"
"business",2017-05-27 18:22:49,2017-05-27,18,"Sat",202,195,FALSE,"Peach becomes Japan's first airline to accept payment in bitcoin https://t.co/mw5HxmAhrl https://t.co/akdb9rH2vq"
"rUv",2017-05-26 15:24:15,2017-05-26,15,"Fri",103,82,FALSE,"Now might be a good time to buy some #bitcoin. If you're crazy. https://t.co/G9zUSNzVE7"
"TechCrunch",2017-05-27 19:28:32,2017-05-27,19,"Sat",222,96,FALSE,"Watch all six episodes of the series Trust Disrupted: Bitcoin and the Blockchain https://t.co/dj3HBXAN1K https://t.co/VfVVcJ94kq"
"Reuters",2017-05-26 11:05:06,2017-05-26,11,"Fri",92,109,FALSE,"Japan, South Korea drive global bitcoin prices as retail investor pile in https://t.co/AqR1nIX0ca https://t.co/gK7qXCg4bp"
"CNBC",2017-05-26 09:15:29,2017-05-26,9,"Fri",96,87,FALSE,"Bitcoin rival Ripple is suddenly sitting on many billions of dollars worth of currency https://t.co/9h5QasaDWk"
"ActualidadRT",2017-05-27 00:55:05,2017-05-27,0,"Sat",135,134,FALSE,"El valor de la moneda virtual bitcóin ha duplicado el precio del oro https://t.co/BNTtU00CxB"
"ActualidadRT",2017-05-26 17:23:29,2017-05-26,17,"Fri",149,165,FALSE,"¿A punto de estallar? Conozca tres riesgos de entrar en la burbuja del bitcóin https://t.co/kB2VsHPcwD https://t.co/HmV0pNLZ13"
"TIME",2017-05-26 17:35:06,2017-05-26,17,"Fri",113,104,FALSE,"Bitcoin is twice as valuable as gold right now https://t.co/cjoOFPFMqk"
"Forbes",2017-05-26 18:21:01,2017-05-26,18,"Fri",209,153,FALSE,"Bitcoin is bigger than ever. Why that matters: https://t.co/GsVE3QmkTu https://t.co/C9fluAgpTh"
"business",2017-05-27 05:17:16,2017-05-27,5,"Sat",98,106,FALSE,"Cryptocurrency mania goes beyond bitcoin https://t.co/1QOLrgGf5O https://t.co/iOhLhRC2w3"
"BTCTN",2017-05-27 08:43:42,2017-05-27,8,"Sat",40,94,FALSE,"Bitcoin Experiences an Intense Flow of New Money and Mainstream Attention https://t.co/JxQ62Ysk49 https://t.co/ZHvTJCeRU1"
"Forbes",2017-05-27 13:41:01,2017-05-27,13,"Sat",332,147,FALSE,"Investing in Bitcoin: a guide https://t.co/N7iSiT4IN1 https://t.co/Hw22eDml3Y"
"BTCTN",2017-05-27 16:47:09,2017-05-27,16,"Sat",45,91,FALSE,"The Future of Bitcoin Conference 2017 https://t.co/v2h5dcWk60 https://t.co/WllFT3Xa1p"
"russian_market",2017-05-26 19:35:38,2017-05-26,19,"Fri",86,93,FALSE,"If you’d bought $1,000 of Bitcoin in 2010, you’d be worth $35M.

If you'd bought $35M of Bitcoin yesterday, you'd b… https://t.co/ocWOnae9Az"
"WIRED",2017-05-27 18:10:42,2017-05-27,18,"Sat",70,45,FALSE,"When it comes to bitcoin, the only real rule is volatility https://t.co/1xZKTPa77U"
"TIME",2017-05-26 07:30:08,2017-05-26,7,"Fri",57,52,FALSE,"Bitcoin surges to another record, this time passing $2,500 https://t.co/JxZxqbttk8"
"business",2017-05-26 08:09:35,2017-05-26,8,"Fri",30,38,FALSE,"Here's what's behind bitcoin's dramatic surge https://t.co/FfZ0rmZzKC https://t.co/khOaS9HNyo"
"coindesk",2017-05-26 08:00:04,2017-05-26,8,"Fri",82,62,FALSE,"The latest Bitcoin Price Index is 2,560.72 USD https://t.co/lzUu2wyPQN https://t.co/kEs2SI0EvS"
"ActualidadRT",2017-05-26 07:36:38,2017-05-26,7,"Fri",20,20,FALSE,"¿A punto de estallar? Conozca tres riesgos de entrar en la burbuja del bitcóin https://t.co/kB2VsHPcwD https://t.co/upzomxR7zH"
"habrahabr",2017-05-26 09:14:51,2017-05-26,9,"Fri",67,23,FALSE,"Чем отличается Bitcoin от других криптовалют https://t.co/4nnaWveMPy https://t.co/iXQq7ucxCR"
"mashable",2017-05-26 08:27:55,2017-05-26,8,"Fri",29,28,FALSE,"Chat app Kik is launching its own digital currency https://t.co/sQp6pA0pLU https://t.co/O907PkA0r1"
"johnrampton",2017-05-26 08:26:06,2017-05-26,8,"Fri",24,18,FALSE,"Messaging platform Kik is launching its own digital currency https://t.co/Vea6bwMuHj https://t.co/dYoNCo6aGp"
"KimDotcom",2017-06-03 18:01:05,2017-06-03,18,"Sat",809,285,FALSE,"Bitcoin $2553  ——————  ������������ https://t.co/GuJ2gKCuMO"
"business",2017-06-04 06:35:03,2017-06-04,6,"Sun",145,146,FALSE,"Peach becomes Japan's first airline to accept payment in bitcoin https://t.co/ICrIYF5PaO https://t.co/4oQfGAl4Lq"
"TheEconomist",2017-06-04 13:39:31,2017-06-04,13,"Sun",272,246,FALSE,"A sum of $1,000 invested in bitcoins in 2010 would now be worth nearly $36m  https://t.co/1h3VbyEwiI https://t.co/zX127gIWlz"
"coindesk",2017-06-04 00:00:16,2017-06-04,0,"Sun",233,125,FALSE,"Medium - “The reason Bitcoin &amp; Ethereum are surging ������������” by @ProductHunt https://t.co/Vp5eqPW5P4"
"business",2017-06-03 09:18:47,2017-06-03,9,"Sat",172,154,FALSE,"Bitcoin could be eclipsed by ethereum https://t.co/CQuBslBHP2 https://t.co/DkWMpRmsqk"
"buyvpnservice",2017-06-03 16:28:31,2017-06-03,16,"Sat",170,104,FALSE,"PIA, the biggest #VPN provider in the world, supports #Bitcoin #UASF #BIP148 https://t.co/u3aiUjQ1um"
"VinnyLingham",2017-06-03 15:11:33,2017-06-03,15,"Sat",296,70,FALSE,"If my Bitcoin loyalty is doubted: @civickey is built on Bitcoin, we're using RSK for Smart Contracts &amp; our Tokensale is on 21st day of June."
"lopp",2017-06-03 22:47:19,2017-06-03,22,"Sat",286,100,FALSE,"Bitcoin dominance is down, you say?
False: Bitcoin dominance is up (to 0.14% of global M1 money supply)"
"ErikVoorhees",2017-06-02 20:12:03,2017-06-02,20,"Fri",364,206,FALSE,"Best article on Bitcoin I've seen at ZeroHedge: Projecting The Price Of Bitcoin | Zero Hedge https://t.co/f6dbMhwpcr #finance #blockchain"
"Excellion",2017-06-04 01:37:23,2017-06-04,1,"Sun",153,100,FALSE,"August 1st is #BitcoinIndependenceDay. Make sure you're running a #BIP148 node. ""We will not go quietly into the ni… https://t.co/Bt1yh9r7DO"
"TheEconomist",2017-06-03 02:00:21,2017-06-03,2,"Sat",273,244,FALSE,"A sum of $1,000 invested in bitcoins in 2010 would now be worth nearly $36m #factoftheday https://t.co/ApHZCYHPVt https://t.co/BQylOTrLG6"
"RT_com",2017-06-03 02:31:01,2017-06-03,2,"Sat",105,132,FALSE,"Russia plans to introduce national cryptocurrency https://t.co/00sKZlZKf5 https://t.co/qW2QXane1F"
"WSJ",2017-06-03 18:00:05,2017-06-03,18,"Sat",76,62,FALSE,"A bitcoin comedian (of course, there is one) tries hard to pull her audience's blockchain https://t.co/zgcTMmrXes"
"Inc",2017-06-04 16:07:46,2017-06-04,16,"Sun",82,46,FALSE,"Here's how to buy your first cryptocurrency coins (Ethereum, Bitcoin, Litecoin, Ripple, etc) https://t.co/K5jBVcCbxS"
"ErikVoorhees",2017-06-03 02:00:32,2017-06-03,2,"Sat",254,111,FALSE,"""Bitcoin is a ponzi scheme"" -Statists circa 2012.   ""ICO's are a ponzi scheme"" -Statists circa 2017.  #FreedomIsScary #MoarRegulationPls"
"paulmasonnews",2017-05-31 19:07:30,2017-05-31,19,"Wed",2044,2760,FALSE,"The magic money tree exists.$12 trillion printed since 2008. Most of it has gone into banks, shares, property, gold… https://t.co/2MtZGeFPVL"
"coindesk",2017-06-02 20:00:36,2017-06-02,20,"Fri",85,60,FALSE,"Ripple has open-sourced a bitcoin plug-in that makes the cryptocurrency interoperable with many other ledgers https://t.co/HzUSR1Z4Fx"
"FortuneMagazine",2017-06-02 19:15:08,2017-06-02,19,"Fri",73,43,FALSE,"If you bought $5 of bitcoin 7 years ago, you’d be $4.4 million richer https://t.co/3k4LWGkMt4 https://t.co/UndeKM6jfg"
"WSJ",2017-06-02 17:55:10,2017-06-02,17,"Fri",74,41,FALSE,"A bitcoin comedian (of course, there is one) tries hard to pull her audience's blockchain
https://t.co/tIAyZEdEDt"
"Ripple",2017-06-02 16:03:34,2017-06-02,16,"Fri",227,122,FALSE,"We open-sourced the first bitcoin plug-in for @Interledger, allowing users to conduct transactions across 7 ledgers. https://t.co/gZjePc2uPB"
"coindesk",2017-06-02 20:00:06,2017-06-02,20,"Fri",32,22,FALSE,"The latest Bitcoin Price Index is 2,440.79 USD https://t.co/lzUu2wyPQN https://t.co/IaBG5MHnNQ"
"FortuneMagazine",2017-06-02 18:45:06,2017-06-02,18,"Fri",19,17,FALSE,"7 people set to make a killing from the bitcoin boom https://t.co/MFc9VDks8M https://t.co/nIXCvzreTr"
"CondusefMX",2017-06-02 17:20:28,2017-06-02,17,"Fri",36,41,FALSE,"Bitcoin... ¿Qué es? Te lo explicamos en #ConsejosParaTuBolsillo https://t.co/IUTu0O9oyD"
"CodyBrown",2017-05-31 22:18:12,2017-05-31,22,"Wed",506,488,FALSE,"How to lose $8k worth of bitcoin in 15 minutes with @Verizon and @Coinbase https://t.co/IOvQVGS4CG https://t.co/bmcDSPzKII"
"wef",2017-05-31 10:30:06,2017-05-31,10,"Wed",293,284,FALSE,"What is Bitcoin? https://t.co/EwEgmO7yfR https://t.co/nnlEhxQvrn"
"RT_com",2017-05-28 08:52:00,2017-05-28,8,"Sun",162,160,FALSE,"#VIRAL: $100 in bitcoin in 2010 now worth almost $73 million
https://t.co/bLy6CIcox6 https://t.co/9Cvs5cEoKY"
"MarketWatch",2017-06-02 18:34:41,2017-06-02,18,"Fri",15,16,FALSE,"Bitcoin has been on a tear, but DON'T call it a bubble. So says this financial blogger: https://t.co/epX6rPZr5G"
"CharlieShrem",2017-06-02 13:44:51,2017-06-02,13,"Fri",107,70,FALSE,"This is what the ""Bitcoin Core Dragons Den"" has been working on ! #bitcoin https://t.co/5l03Pgad9I"
"lopp",2017-06-01 15:01:56,2017-06-01,15,"Thu",877,423,FALSE,"Folks who feel they missed the bitcoin boat are going to get a lesson in how small of a number 21,000,000 is relative to global population."
"RealJamesWoods",2017-05-30 01:25:30,2017-05-30,1,"Tue",1882,476,FALSE,"If #BernieMadoff were reincarnated as an algorithm: #Bitcoin"
"business",2017-05-27 18:22:49,2017-05-27,18,"Sat",202,195,FALSE,"Peach becomes Japan's first airline to accept payment in bitcoin https://t.co/mw5HxmAhrl https://t.co/akdb9rH2vq"
"rUv",2017-05-26 15:24:15,2017-05-26,15,"Fri",103,82,FALSE,"Now might be a good time to buy some #bitcoin. If you're crazy. https://t.co/G9zUSNzVE7"
"TechCrunch",2017-05-27 19:28:32,2017-05-27,19,"Sat",222,96,FALSE,"Watch all six episodes of the series Trust Disrupted: Bitcoin and the Blockchain https://t.co/dj3HBXAN1K https://t.co/VfVVcJ94kq"
"Reuters",2017-05-26 11:05:06,2017-05-26,11,"Fri",92,109,FALSE,"Japan, South Korea drive global bitcoin prices as retail investor pile in https://t.co/AqR1nIX0ca https://t.co/gK7qXCg4bp"
"CNBC",2017-05-26 09:15:29,2017-05-26,9,"Fri",96,87,FALSE,"Bitcoin rival Ripple is suddenly sitting on many billions of dollars worth of currency https://t.co/9h5QasaDWk"
"ActualidadRT",2017-05-27 00:55:05,2017-05-27,0,"Sat",135,134,FALSE,"El valor de la moneda virtual bitcóin ha duplicado el precio del oro https://t.co/BNTtU00CxB"
"ActualidadRT",2017-05-26 17:23:29,2017-05-26,17,"Fri",149,165,FALSE,"¿A punto de estallar? Conozca tres riesgos de entrar en la burbuja del bitcóin https://t.co/kB2VsHPcwD https://t.co/HmV0pNLZ13"
"TIME",2017-05-26 17:35:06,2017-05-26,17,"Fri",113,104,FALSE,"Bitcoin is twice as valuable as gold right now https://t.co/cjoOFPFMqk"
"Forbes",2017-05-26 18:21:01,2017-05-26,18,"Fri",209,153,FALSE,"Bitcoin is bigger than ever. Why that matters: https://t.co/GsVE3QmkTu https://t.co/C9fluAgpTh"
"business",2017-05-27 05:17:16,2017-05-27,5,"Sat",98,106,FALSE,"Cryptocurrency mania goes beyond bitcoin https://t.co/1QOLrgGf5O https://t.co/iOhLhRC2w3"
"BTCTN",2017-05-27 08:43:42,2017-05-27,8,"Sat",40,94,FALSE,"Bitcoin Experiences an Intense Flow of New Money and Mainstream Attention https://t.co/JxQ62Ysk49 https://t.co/ZHvTJCeRU1"
"Forbes",2017-05-27 13:41:01,2017-05-27,13,"Sat",332,147,FALSE,"Investing in Bitcoin: a guide https://t.co/N7iSiT4IN1 https://t.co/Hw22eDml3Y"
"BTCTN",2017-05-27 16:47:09,2017-05-27,16,"Sat",45,91,FALSE,"The Future of Bitcoin Conference 2017 https://t.co/v2h5dcWk60 https://t.co/WllFT3Xa1p"
"russian_market",2017-05-26 19:35:38,2017-05-26,19,"Fri",86,93,FALSE,"If you’d bought $1,000 of Bitcoin in 2010, you’d be worth $35M.

If you'd bought $35M of Bitcoin yesterday, you'd b… https://t.co/ocWOnae9Az"
"WIRED",2017-05-27 18:10:42,2017-05-27,18,"Sat",70,45,FALSE,"When it comes to bitcoin, the only real rule is volatility https://t.co/1xZKTPa77U"
"TIME",2017-05-26 07:30:08,2017-05-26,7,"Fri",57,52,FALSE,"Bitcoin surges to another record, this time passing $2,500 https://t.co/JxZxqbttk8"
"business",2017-05-26 08:09:35,2017-05-26,8,"Fri",30,38,FALSE,"Here's what's behind bitcoin's dramatic surge https://t.co/FfZ0rmZzKC https://t.co/khOaS9HNyo"
"coindesk",2017-05-26 08:00:04,2017-05-26,8,"Fri",82,62,FALSE,"The latest Bitcoin Price Index is 2,560.72 USD https://t.co/lzUu2wyPQN https://t.co/kEs2SI0EvS"
"ActualidadRT",2017-05-26 07:36:38,2017-05-26,7,"Fri",20,20,FALSE,"¿A punto de estallar? Conozca tres riesgos de entrar en la burbuja del bitcóin https://t.co/kB2VsHPcwD https://t.co/upzomxR7zH"
"habrahabr",2017-05-26 09:14:51,2017-05-26,9,"Fri",67,23,FALSE,"Чем отличается Bitcoin от других криптовалют https://t.co/4nnaWveMPy https://t.co/iXQq7ucxCR"
"mashable",2017-05-26 08:27:55,2017-05-26,8,"Fri",29,28,FALSE,"Chat app Kik is launching its own digital currency https://t.co/sQp6pA0pLU https://t.co/O907PkA0r1"
"johnrampton",2017-05-26 08:26:06,2017-05-26,8,"Fri",24,18,FALSE,"Messaging platform Kik is launching its own digital currency https://t.co/Vea6bwMuHj https://t.co/dYoNCo6aGp"
